Date,Action,Price,Sentiment
2020-03-25 12:00:00,BUY,6615.0,Extreme Fear
2020-05-08 00:00:00,SELL,9927.5,Greed
2020-05-11 00:00:00,BUY,8696.0,Fear
2020-06-02 00:00:00,SELL,10099.5,Greed
2020-06-12 00:00:00,BUY,9360.5,Fear
2020-07-23 00:00:00,SELL,9485.5,Greed
2020-09-04 00:00:00,BUY,10266.0,Fear
2020-10-11 00:00:00,SELL,11336.0,Greed
2021-01-22 00:00:00,BUY,30931.0,Fear
2021-01-23 00:00:00,SELL,32390.0,Greed
2021-03-01 00:00:00,BUY,46328.5,Fear
2021-03-02 00:00:00,SELL,49000.5,Extreme Greed
2021-04-24 00:00:00,BUY,50133.5,Fear
2021-04-28 00:00:00,SELL,54836.5,Greed
2021-05-13 00:00:00,BUY,50460.0,Fear
2021-07-31 00:00:00,SELL,41812.5,Greed
2021-08-04 00:00:00,BUY,37997.0,Fear
2021-08-07 00:00:00,SELL,43646.5,Greed
2021-09-09 00:00:00,BUY,46007.0,Fear
2021-10-05 00:00:00,SELL,49250.0,Greed
2021-11-19 00:00:00,BUY,55910.5,Fear
2022-03-28 00:00:00,SELL,47016.5,Greed
2022-04-07 00:00:00,BUY,43289.0,Fear
2023-01-27 00:00:00,SELL,22762.0,Greed
2023-03-09 00:00:00,BUY,21764.6,Fear
2023-03-14 00:00:00,SELL,24368.5,Greed
2023-06-06 00:00:00,BUY,25719.1,Fear
2023-06-21 00:00:00,SELL,28700.0,Greed
2023-08-18 00:00:00,BUY,26385.1,Fear
2023-10-21 00:00:00,SELL,29590.0,Greed
2024-05-02 00:00:00,BUY,57412.9,Fear
2024-05-04 00:00:00,SELL,62686.6,Greed
2024-06-25 00:00:00,BUY,61271.8,Fear
2024-07-16 00:00:00,SELL,64727.8,Greed
2024-08-03 00:00:00,BUY,61850.6,Fear
2024-08-24 00:00:00,SELL,63800.2,Greed
2024-08-28 00:00:00,BUY,59601.6,Fear
2024-09-25 00:00:00,SELL,64445.9,Greed
2024-10-02 00:00:00,BUY,61726.7,Fear
2024-10-15 00:00:00,SELL,65401.5,Greed
2025-02-03 00:00:00,BUY,93998.2,Fear
2025-02-04 00:00:00,SELL,100580.5,Greed
2025-02-07 00:00:00,BUY,97407.6,Fear
2025-02-21 00:00:00,SELL,98113.5,Greed
2025-02-25 00:00:00,BUY,92128.0,Extreme Fear
2025-04-23 00:00:00,SELL,93128.3,Greed
2025-06-06 00:00:00,BUY,101651.0,Fear
2025-06-08 00:00:00,SELL,105681.0,Greed
2025-06-22 00:00:00,BUY,101533.0,Fear
2025-06-24 00:00:00,SELL,105512.0,Greed
